"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Apterostigma.1","Apterostigma","Public","Baccaro_noyear_traits_14","Apterostigma","True","Baccaro, Fabricio",-6.1970431675,-56.9449493325,"Worker",2,0.744,0.97,0.26,0.545,1.3925,0.905,1.392,0.5625,0.6525,0.1475,NA,NA,55,0,19,19,20,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","203648","pilosum","Native*","Brazil","South America","bgrossman","2017-02-23",145.8,"Traits_3_February_2017"
"Apterostigma.2","Apterostigma","Public","Baccaro_noyear_traits_14","Apterostigma","True","Baccaro, Fabricio",-6.1970431675,-56.9449493325,"Worker",2,0.744,0.97,0.26,0.545,1.3925,0.905,1.392,0.5625,0.6525,0.1475,NA,NA,55,0,19,19,20,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","203648","pilosum","Native*","Brazil","South America","bgrossman","2017-02-23",145.8,"Traits_3_February_2017"
"Apterostigma.3","Apterostigma","Public","Baccaro_noyear_traits_14","Apterostigma","True","Baccaro, Fabricio",-6.1970431675,-56.9449493325,"Worker",2,0.744,0.97,0.26,0.545,1.3925,0.905,1.392,0.5625,0.6525,0.1475,NA,NA,55,0,19,19,20,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","203648","pilosum","Native*","Brazil","South America","bgrossman","2017-02-23",145.8,"Traits_3_February_2017"
"Apterostigma.4","Apterostigma","Public","Baccaro_noyear_traits_14","Apterostigma","True","Baccaro, Fabricio",-6.1970431675,-56.9449493325,"Worker",2,0.744,0.97,0.26,0.545,1.3925,0.905,1.392,0.5625,0.6525,0.1475,NA,NA,55,0,19,19,20,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","203648","pilosum","Native*","Brazil","South America","bgrossman","2017-02-23",145.8,"Traits_3_February_2017"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atta","Atta","Public","Vasconcelos&Pacheco_noyear_01_traits_1","Atta","False","Heraldo L. Vasconcelos & Renata Pacheco",-11.48789089,-45.82966133,"Worker",5.33333333333333,2.8,2.4,0.59,1.84333333333333,4.35333333333333,2.69,3.24,1.59666666666667,2.36,0.3,NA,NA,38.3333333333333,6,20.6666666666667,21.3333333333333,21.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laevigata","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Atta.1","Atta","Public","Vasconcelos&Pacheco_noyear_01_traits_1","Atta","False","Heraldo L. Vasconcelos & Renata Pacheco",-11.48789089,-45.82966133,"Worker",5.33333333333333,2.8,2.4,0.59,1.84333333333333,4.35333333333333,2.69,3.24,1.59666666666667,2.36,0.3,NA,NA,38.3333333333333,6,20.6666666666667,21.3333333333333,21.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laevigata","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azteca","Azteca","Public","Vasconcelos&Pacheco_noyear_01_traits_2","Azteca","True","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",10,0.99,1.06,0.33,0.46,1.23,0.93,1.28,0.64,0.68,0.14,NA,NA,38,0,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp.02","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Azteca.1","Azteca","Public","Vasconcelos&Pacheco_noyear_01_traits_2","Azteca","True","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",10,0.99,1.06,0.33,0.46,1.23,0.93,1.28,0.64,0.68,0.14,NA,NA,38,0,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp.02","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Azteca.2","Azteca","Public","Vasconcelos&Pacheco_noyear_01_traits_2","Azteca","True","Heraldo L. Vasconcelos & Renata Pacheco",-15.95797267,-47.92049733,"Worker",10,0.99,1.06,0.33,0.46,1.23,0.93,1.28,0.64,0.68,0.14,NA,NA,38,0,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sp.02","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Basiceros","Basiceros","Public","Baccaro_noyear_traits_100","Basiceros","False","Donoso, David",NA,NA,"Worker",1,0.73875,0.69875,0.395,0.371428571428571,0.59625,0.425714285714286,0.8475,0.438571428571429,0.88,0.0314285714285714,NA,3,0,0,9,9,9,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","spec_1","isthmica","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Brachymyrmex","Brachymyrmex","Public","Baccaro_noyear_traits_15","Brachymyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-8.25927926615385,-40.1123472284615,"Worker",2.93333333333333,0.422410714285714,0.464279292533333,0.150721153846154,0.216346153846154,0.446442307692308,0.434326923076923,0.4501488095,0.280336538461538,0.333653846153846,0.0828365384615385,NA,NA,3.88888888888889,0,18.4444444444444,18.4444444444444,18.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Actually from Wiescher et al. 2012, 4-8 individuals measured","depilis","Native*","Brazil","South America","lgjohanson","2018-04-24",156.666666666667,"Vasconcelos&Pacheco Traits"
"Brachymyrmex.1","Brachymyrmex","Public","Baccaro_noyear_traits_15","Brachymyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-8.25927926615385,-40.1123472284615,"Worker",2.93333333333333,0.422410714285714,0.464279292533333,0.150721153846154,0.216346153846154,0.446442307692308,0.434326923076923,0.4501488095,0.280336538461538,0.333653846153846,0.0828365384615385,NA,NA,3.88888888888889,0,18.4444444444444,18.4444444444444,18.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Actually from Wiescher et al. 2012, 4-8 individuals measured","depilis","Native*","Brazil","South America","lgjohanson","2018-04-24",156.666666666667,"Vasconcelos&Pacheco Traits"
"Brachymyrmex.2","Brachymyrmex","Public","Baccaro_noyear_traits_15","Brachymyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-8.25927926615385,-40.1123472284615,"Worker",2.93333333333333,0.422410714285714,0.464279292533333,0.150721153846154,0.216346153846154,0.446442307692308,0.434326923076923,0.4501488095,0.280336538461538,0.333653846153846,0.0828365384615385,NA,NA,3.88888888888889,0,18.4444444444444,18.4444444444444,18.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Actually from Wiescher et al. 2012, 4-8 individuals measured","depilis","Native*","Brazil","South America","lgjohanson","2018-04-24",156.666666666667,"Vasconcelos&Pacheco Traits"
"Brachymyrmex.3","Brachymyrmex","Public","Baccaro_noyear_traits_15","Brachymyrmex","True","Heraldo L. Vasconcelos & Renata Pacheco",-8.25927926615385,-40.1123472284615,"Worker",2.93333333333333,0.422410714285714,0.464279292533333,0.150721153846154,0.216346153846154,0.446442307692308,0.434326923076923,0.4501488095,0.280336538461538,0.333653846153846,0.0828365384615385,NA,NA,3.88888888888889,0,18.4444444444444,18.4444444444444,18.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Actually from Wiescher et al. 2012, 4-8 individuals measured","depilis","Native*","Brazil","South America","lgjohanson","2018-04-24",156.666666666667,"Vasconcelos&Pacheco Traits"
"Camponotus","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.1","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.2","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.3","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.4","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.5","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.6","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.7","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.8","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.9","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.10","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.11","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.12","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.13","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Camponotus.14","Camponotus","Public","Andersen&Hoffmann_2011_traits_16","Camponotus","False","Gibb, Heloise; Grossman, Blair",-0.370569251932772,86.1795474054342,"Worker",1.33487297921478,1.42000028146209,1.79799778915196,0.470834278107383,0.74429227066474,2.17383925620485,1.81868251245205,2.55172653637565,1.12730039711111,1.00814484910692,0.352631718236413,10.9057948780488,1.25666666666667,20.0340136054422,0.055045871559633,11.9463087248322,11.8120805369128,11.4093959731544,"Dimorphic (2)","Monogyny (1)",1000,"Monodomous (1)","Claustral independent (2)","Epigaeic (2)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","pennsylvannicus","Native*","China","Asia","bgrossman","2017-02-22",141.187066974596,"Traits_1_February 2017"
"Cardiocondyla","Cardiocondyla","Public","Andersen&Hoffmann_2011_traits_191","Cardiocondyla","False","Plowman, Nichola",-3.842812222,132.262175,"Worker",1.3,0.376249292470588,0.4302297140625,0.070832971,0.2075339916,0.298164715125,0.3000000005,0.5299159619,0.2711538465,0.452582417733333,0.0808579084666667,NA,2,0.333333333333333,1.33333333333333,19.5,19.5,20.5,"Monomorphic (1)",NA,NA,NA,NA,NA,NA,NA,"These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","obscurior","Unknown",NA,NA,"bgrossman","2017-02-22",138,"Traits_1_February 2017"
